,Description,TotalSalesDollars,ProfitMargin
546,Barefoot Cellars Moscato,1979.45,29.782010154335797
550,Barefoot Cellars Rich Red,298.74,12.365267456651267
551,Barefoot Cellars Rosa Red,406.58,76.09326577795268
553,Barefoot Cellars Sweet Red,1495.77,24.71364271376871
554,Barefoot Cellars Winter Red,6105.9,32.654154178745145
556,Barefoot Crisp White Spritz,271.66,4.586615622469276
559,Barefoot Perfectly Pink,1145.57,30.18148170779611
562,Barefoot Refresh Crisp Red,546.0799999999999,45.88704951655435
568,Barefoot Summer Red Spritzer,367.54,16.254013168634707
571,Barefoot Syrah Cal,7928.18,36.15411490900414
573,Barefoot Znfdl Cal,613.1800000000001,22.838550684445973
574,Barenjager Honey & Bourbon,9154.68,63.66142781615524
577,Barkan Clsc Cab Svgn,9121.48,34.26593052881769
578,Barkan Clsc Chard,1189.15,33.031156708573356
579,Barkan Clsc Merlot,6015.7,31.17209967252357
581,Baron K Kabinett,911.52,52.77777777777778
582,Baron La Rose Bordeaux Blanc,1988.1100000000001,80.15703356454121
583,Baron de Seillac Brut Rose,311.76,31.023864511162436
587,Barra Petite Sirah,160.92999999999998,33.31883427577206
588,Barrique Chard,1036.3899999999999,10.033867559509453
590,Barsol Primero Quebranta Pso,1457.32,27.11552713199571
591,Bartenura Asti Spumante,2631.1499999999996,37.894076734507706
593,Bartenura Ovidia Est Chianti,2056.53,52.000700208603824
595,Barton Gin,6347.22,25.68872671815378
600,Basilica Amaretto,47.45,85.07903055848261
601,Basilica Sambuca,7490.900000000001,65.75885407627922
603,Batavia Arrack Rum,31.99,28.071272272585173
607,Be. Bright Pnt Grigio,1042.26,74.43056435054592
609,Beat 3 Single Malt Whiskey,36.99,23.384698567180322
610,Beat 3 White Kosher Whiskey,2426.17,15.958898181083766
612,Beaucanon Merlot Napa,80.97,54.64987032234161
615,Beaulieu Cstl Clr Slct Chard,174.75,4.618025751072957
617,Beaux Freres Pnt Nr Will Vly,6898.85,79.2678489893243
618,Beaux Freres Vyds Pnt Nr,5669.37,93.7347535969605
619,Becker Family Pnt Bl,395.78,64.70766587498105
625,Belguardo Serrata Toscana,2957.04,90.86924762600438
627,Bella Bolla Moscato,187.25,8.411214953271028
628,Bella Bolla Pink Moscato,456.89000000000004,50.31407997548645
629,Bella Bolla Red Moscato,89.88,33.778371161548726
630,Bella Bolle Fusione Red,98.89,27.79856406107796
631,Bella Italia Pnt Grigio Ter,455.52,41.93888303477344
636,Bella Sera Pnt Nr Venezie,155.76,30.97072419106317
637,Bellafina Prosecco,1686.47,47.07169413034326
638,Belle Ambiance Chard,352.66,18.561787557420754
650,Ben Marco Cab Svgn,4284.53,38.41284808368713
651,Ben Marco Malbec,8271.76,38.93838796096599
653,Bench Pnt Nr,1363.3799999999999,25.062711789816472
654,Benchmark Egg Nog,6931.9800000000005,29.590679719214425
657,Beniotome Sesame Shochu,4768.41,99.5342262934605
660,Benton Lane Pnt Gris Willamt,3853.59,21.412863745483243
662,Benvolio Pnt Grigio Friuli,4306.05,89.34708143193878
663,Benvolio Toscana Rosso,649.5,35.11316397228638
667,Benziger Pnt Nr Sonoma,2158.92,34.21710855427714
669,Beran Znfdl Sonoma Cty,2519.16,21.95255561377602
670,Berentzen Apple Liqueur,9077.41,81.50639885165482
671,Berentzen Bushel & Barrel,1333.58,84.82036799317765
687,Beringer Classic Wh Zin Spkl,6043.04,30.586095739892507
694,Beringer Fndrs Est Svgn Bl,7779.65,48.73818230897276
695,Beringer KVR Cab Svgn,7898.42,29.772283570638177
697,Beringer Luminus Chard,9945.25,27.14190191297353
699,Berkshire Mtn Ethereal Gin,1832.4099999999999,86.36113096959741
700,Bertani Amarone 04,5984.37,92.64133066638594
701,Bertani Amarone 1993,2039.88,83.33284310841815
702,Bertani Amarone Valpolicell,8799.12,56.54906399730882
704,Bertani Secco 11 Orig V Ed,1524.3899999999999,87.64620602339296
705,Bertani Villa Arvedi Amarone,5998.14,46.805309049755266
706,Bex Rsl Mosel,5667.11,47.516106092876264
707,Beyond Svgn Bl,195.45,40.90560245587106
709,Big Claw White,194.85,35.026943802925324
710,Big House Birdman Pnt Grigio,8567.64,27.489600403378283
714,Big House White,6171.210000000001,49.06166966020302
715,Big Peat Scotch,8139.63,47.77109033211583
717,Bigi Orvieto Clsc Vendemmia,419.65000000000003,32.31502442511617
721,Billette Bousquet Prov Rose,1067.11,22.767099924094044
722,Binyamina Cab Svgn,2280.32,4.266944990176825
723,Binyamina Chard,1673.67,15.754599174269721
724,Biokult Gruner Veltliner,279.8,18.341672623302365
728,Bird Dog Chocolate Whiskey,8970.27,48.1571903632778
729,Bird Dog Hot Cinnamon Whisky,152.91,24.249558563861097
731,Bird Dog Maple Whiskey,1865.4599999999998,31.443182914669844
734,Bisol Crede Prosseco Super V,263.88,34.60663938153706
736,Bitch Vodka,945.5699999999999,39.3508677305752
737,Black & White Scotch,3481.7099999999996,17.758802427542776
743,Black Box Moscato B/B,134.91,70.76569564895115
749,Black Button Citrus Gin,9032.83,73.71366448831651
754,Black Pearl Oro,8298.96,21.0937274068076
757,Black Stallion Chard Napa Vy,2670.33,9.579714866701867
765,Blackbird Vyds Arise Red,3550.33,34.51538307706607
769,Blackstone Delectable Red,4646.64,39.890759774805026
771,Blackstone Montry Pnt Grigio,5561.66,37.25146808686615
773,Blackstone Syrah Cal,1527.24,26.761347266965245
774,Blackstone Winemakers Malbec,419.3,83.25542570951586
775,Blackstone Znfdl Cal,3721.71,33.20247950538865
778,Bleu de Mer Rose,9404.76,29.702193357406248
780,Bliss Cab Svgn,363.74,5.778853026887347
781,Bliss Chard,5570.56,35.54687500000001
782,Bliss Merlot,167.88,32.88062902072909
785,Blood Orange Liqueur,3158.82,87.35762088374773
786,Bloom Gin,3782.2799999999997,85.577746755925
787,Blossom Hill Chard,7154.49,30.39252273746976
788,Blossom Hill Merlot,791.28,21.656050955414
789,Blossom Hill Wh Znfdl,263.76,19.358507734303913
792,Blue Chair Bay Coc Spced Rum,645.66,36.25127776228974
793,Blue Chair Bay CocSpc Cream,2803.35,84.72684466798653
795,Blue Current Junmai Ginjo,5298.21,7.578597299842789
798,Bluebird Chardonnay,215.76,32.48053392658509
799,Bluebird Pinot Noir,9959.210000000001,34.47311583950937
801,Bluegray Priorat DOQ,2356.69,30.118938002028273
804,Bocelli Prosecco,4728.509999999999,39.37392540144781
805,Bocelli Sangiovese,431.76,32.40689271817677
806,Bodega Elena de Mendoza Mlbc,1013.55,96.71254501504613
807,Bodega Garzon Albarino,179.88,35.090060040026685
808,Bodega Noemia D Patagonia 13,2873.85,13.06609600361884
809,Bodegas Borsao 14 Rose,8417.12,39.74661166764879
811,Bodegas Faustino V RSV Rioj,6701.009999999999,35.57239878764544
813,Bodegas Jeromin Zesto Rosada,287.76,31.02585487906589
815,Bodegas Numanthia Termes,815.66,20.127258906897477
816,Bodini Malbec Mendoza,457.62,28.04073248546829
817,Boen Pnt Nr RRV,1949.35,1.1193474747992889
829,Bolla Bardolino,6721.79,36.40265465002626
831,Bolla Merlot,4383.84,38.99526442570897
833,Bolla Prosecco 3pk/187mls,1573.95,94.74443279646748
835,Bolla Soave,2132.5,32.24853458382181
836,Bolla Torr'Alta Veronese Ros,2050.92,41.138610964835294
837,Bolla Valpo Ripasso Cls Sup,683.46,42.8759547010798
839,Bollinger Brut Grande Annee,7787.410000000001,81.5517611118459
840,Bollinger R.D. 2002,3359.88,61.36945367096443
842,Bols Amaretto Liqueur,5155.95,43.13306545376524
843,Bols Anisette,1588.41,15.67668297228047
844,Bols Apricot Flavored Brand,670.39,23.111919927206543
845,Bols Blackberry Brandy,560.49,23.79168227800675
847,Bols Brown Creme de Cacao,1998.0,25.04504504504505
848,Bols Butterscotch,319.68,23.611111111111114
849,Bols Cherry Flavored Brandy,2593.64,35.24313320275751
850,Bols Creme De Noyaux,1108.8899999999999,15.34958381805227
851,Bols Creme de Banana,2467.53,30.904588799325644
852,Bols Creme de Cassis,1828.17,32.161669866587914
854,Bols Genever Amsterdam,164.95000000000002,20.00606244316461
855,Bols Green Creme De Menthe,4795.2,27.658908908908913
856,Bols Lychee,139.86,28.028028028028036
857,Bols Maraschino Liqueur,218.31,19.01424579726077
858,Bols Melon Liqueur,869.13,45.40057298677988
860,Bols Peach Flavored Brandy,2329.88,18.13183511597164
861,Bols Peach Schnapps,6088.97,49.98554757017575
862,Bols Peppermint Schnapps,1318.68,37.1917371917372
863,Bols Pomegranate Liqueur,465.01,50.465581385346546
864,Bols Pumpkin Spice,6183.81,67.1865726793029
865,Bols Sloe Gin,1338.66,32.35175473981445
866,Bols Strawberry Liqueur,1568.43,36.29808152101146
868,Bols White Creme De Cacao,3786.21,14.744295746934268
869,Bols White Creme De Menthe,219.78,13.049413049413053
870,Bols Yogurt Liqueur,1857.57,66.33881899470813
874,Bon Affair Svgn Bl Spritzer,9076.91,44.58391276502207
875,Bonal Apertif,56.97,35.49236440231701
877,Bongiovanni Dolceo D'Alba,815.52,83.10771041789287
878,Bonnie Rose Orange Peel,8035.65,59.002694243776176
879,Bonnie Rose Spiced Apple,7419.07,60.913969001505585
880,Bonny Doon Clos de Gilroy Rd,860.43,52.302918308287715
882,Bonpas Blanc Rhone Vly,2547.96,34.08138275326144
883,Bonpas Ch du Pape Rouge Rsv,5976.59,58.869857226277865
889,Bonterra Pnt Nr,1075.31,46.50100901135487
894,Boones Sangria,391.69,30.57775281472594
895,Boones Strawberry Hill,1988.3500000000001,32.58028013176755
896,Booth's Cask Mellowed Gin,3783.14,76.3910402469906
899,Borealis Northern Whites,1706.78,26.93610189948324
911,Bota Box Rsl,2094.8799999999997,28.603070342931336
915,Bota Brick Cab Svgn,427.59000000000003,34.18929348207394
